YEAR,MONTH_NUM,STATE_NAME,TOTAL_FLIGHTS,TOTAL_CO2_EMISSIONS,CO2_PER_FLIGHT
2016,6,FRANCE,169959.0,1809564.881,10.647067122070617
2016,6,GEORGIA,1961.0,24338.422,12.411229984701682
2016,6,GERMANY,182665.0,2586848.512,14.161708657925711
2016,6,GREECE,52506.0,476630.567,9.077640022092712
2016,6,HUNGARY,8713.0,70284.211,8.06659141512682
2016,6,IRELAND,26226.0,271034.422,10.33456958743232
2016,6,ITALY,104086.0,1222773.68,11.747724766058836
2016,6,LATVIA,6182.0,35745.762,5.782232610805565
2016,6,LITHUANIA,4837.0,28393.44,5.870051684928675
2016,6,LUXEMBOURG,5916.0,113776.281,19.231960953346857
2016,6,MALTA,4264.0,37844.173,8.87527509380863
2016,6,MONTENEGRO,1194.0,18343.142,15.362765494137353
2016,6,NETHERLANDS,47876.0,916924.048,19.152060489598128
2016,6,NORWAY,41387.0,270932.682,6.546323289921956
2016,6,POLAND,33443.0,221721.23,6.629824776485363
2016,6,PORTUGAL,34591.0,372051.718,10.75573756179353
2016,6,ROMANIA,9803.0,100028.387,10.203854636335816
2016,6,SERBIA,5893.0,31532.293,5.35080485321568
2016,6,SLOVAKIA,2198.0,16007.747,7.282869426751592
2016,6,SLOVENIA,2791.0,9434.754,3.3804206377642423
2016,6,SPAIN,175501.0,1502969.453,8.563879710087122
2016,6,SWEDEN,30460.0,272449.857,8.944512705187131
2016,6,SWITZERLAND,38908.0,455865.015,11.71648542716151
2016,6,TÜRKIYE,84133.0,1168310.506,13.886471491566924
2016,6,UNITED KINGDOM,184090.0,3203058.647,17.399416845021456
2016,7,ALBANIA,2104.0,11223.878,5.334542775665399
2016,7,ARMENIA,1775.0,18402.017,10.36733352112676
2016,7,AUSTRIA,29832.0,237122.103,7.9485821600965405
2016,7,BELGIUM,30503.0,371984.749,12.195021768350655
2016,7,BOSNIA AND HERZEGOVINA,1114.0,9742.863,8.74583752244165
2016,7,BULGARIA,4620.0,119377.419,25.83926818181818
2016,7,CROATIA,3831.0,82035.956,21.413718611328637
2016,7,CYPRUS,8718.0,116765.567,13.393618605184676
2016,7,DENMARK,23036.0,291176.617,12.640068458065638
2016,7,FINLAND,13204.0,180526.932,13.672139654650106
2016,7,FRANCE,177065.0,1987649.809,11.225537565300877
2016,7,GEORGIA,2459.0,30991.258,12.60319560797072
2016,7,GERMANY,183589.0,2726175.989,14.849342765634107
2016,7,GREECE,64111.0,577684.483,9.010692127715993
2016,7,HUNGARY,9120.0,76322.79000000001,8.368726973684211
2016,7,IRELAND,27058.0,282693.849,10.44769934954542
2016,7,ITALY,113218.0,1364993.425,12.056328719814871
2016,7,LATVIA,6067.0,33844.662,5.578483929454425
2016,7,LITHUANIA,4833.0,27477.536,5.6853995447961925
2016,7,LUXEMBOURG,5836.0,122534.736,20.996356408498972
2016,7,MALTA,4735.0,42227.287,8.91811763463569
2016,7,MONTENEGRO,1341.0,22286.828,16.619558538404178
2016,7,NETHERLANDS,50141.0,1013172.988,20.20647749346842
2016,7,NORWAY,36321.0,283734.966,7.811870983728422
2016,7,POLAND,34025.0,236111.691,6.9393590301249075
2016,7,PORTUGAL,38699.0,422990.304,10.93026445127781
2016,7,ROMANIA,10219.0,110042.76,10.768447010470691
2016,7,SERBIA,6693.0,36904.855,5.513948154788586
2016,7,SLOVAKIA,2456.0,20966.79,8.536966612377851
2016,7,SLOVENIA,2961.0,11359.148,3.836253968253968
2016,7,SPAIN,195404.0,1706104.009,8.73116215123539
2016,7,SWEDEN,26855.0,278517.201,10.371148799106312
2016,7,SWITZERLAND,41261.0,502740.853,12.184407866993045
2016,7,TÜRKIYE,94862.0,1343212.889,14.159651799456052
2016,7,UNITED KINGDOM,191653.0,3403457.359,17.758435083197238
2016,8,ALBANIA,2353.0,12157.049,5.166616659583511
2016,8,ARMENIA,1981.0,20531.003,10.363959111559819
2016,8,AUSTRIA,29122.0,231288.54,7.942055490694321
2016,8,BELGIUM,29651.0,366334.213,12.354868739671511
2016,8,BOSNIA AND HERZEGOVINA,1144.0,10207.293,8.922458916083915
2016,8,BULGARIA,4527.0,117245.63,25.899189308592888
2016,8,CROATIA,3860.0,78176.964,20.253099481865288
