YEAR,MONTH_NUM,STATE_NAME,TOTAL_FLIGHTS,TOTAL_CO2_EMISSIONS
2016,8,"MOLDOVA, REPUBLIC OF",,16665.29
2016,8,MONACO,,57.645
2016,8,MONTENEGRO,1271.0,21988.29
2016,8,NETHERLANDS,50175.0,1013067.913
2016,8,NORTH MACEDONIA,,10839.745
2016,8,NORWAY,41194.0,275900.754
2016,8,POLAND,34204.0,234980.959
2016,8,PORTUGAL,38923.0,425070.06
2016,8,REPUBLIC OF NORTH MACEDONIA,1504.0,
2016,8,ROMANIA,10426.0,114052.83
2016,8,SERBIA,6697.0,37843.785
2016,8,SLOVAKIA,2286.0,20204.309
2016,8,SLOVENIA,3085.0,11451.86
2016,8,SPAIN,194503.0,1696280.857
2016,8,SWEDEN,29531.0,275748.722
2016,8,SWITZERLAND,40337.0,494830.555
2016,8,TÜRKIYE,96214.0,1372893.969
2016,8,UKRAINE,7431.0,
2016,8,UNITED KINGDOM,191869.0,3406213.11
2016,9,ALBANIA,2150.0,11251.445
2016,9,ARMENIA,1809.0,18309.443
2016,9,AUSTRIA,29411.0,228924.545
2016,9,BELGIUM,29944.0,348636.546
2016,9,BOSNIA AND HERZEGOVINA,1064.0,9933.672
2016,9,BULGARIA,4856.0,90492.437
2016,9,CANARY ISLANDS,,262853.65
2016,9,CROATIA,3808.0,63020.347
2016,9,CYPRUS,7820.0,106232.738
2016,9,CZECH REPUBLIC,15089.0,
2016,9,CZECHIA,,116164.734
2016,9,DENMARK,24171.0,258107.935
2016,9,ESTONIA,3513.0,
2016,9,FINLAND,15084.0,182870.925
2016,9,FRANCE,167892.0,1821126.945
2016,9,GEORGIA,2462.0,30441.186
2016,9,GERMANY,188202.0,2650132.035
2016,9,GREECE,54261.0,490911.593
2016,9,HUNGARY,8822.0,71335.909
2016,9,ICELAND,,55817.784
2016,9,IRELAND,24806.0,254426.01
2016,9,ITALY,106287.0,1254383.365
2016,9,KOSOVO,,8973.356
2016,9,LATVIA,6066.0,32594.767
2016,9,LITHUANIA,4989.0,29157.75
2016,9,LUXEMBOURG,5986.0,120028.864
2016,9,MALTA,4416.0,38877.289
2016,9,MOLDOVA,2173.0,
2016,9,"MOLDOVA, REPUBLIC OF",,15046.162
2016,9,MONACO,,32.665
2016,9,MONTENEGRO,1149.0,17906.297
2016,9,NETHERLANDS,47953.0,952417.221
2016,9,NORTH MACEDONIA,,9462.187
2016,9,NORWAY,42431.0,259318.614
2016,9,POLAND,33661.0,227040.218
2016,9,PORTUGAL,35357.0,382766.911
2016,9,REPUBLIC OF NORTH MACEDONIA,1373.0,
2016,9,ROMANIA,10274.0,108868.993
2016,9,SERBIA,6138.0,35102.166
2016,9,SLOVAKIA,2233.0,17486.981
2016,9,SLOVENIA,3019.0,10370.99
2016,9,SPAIN,177558.0,1542374.597
2016,9,SWEDEN,33368.0,279070.56
2016,9,SWITZERLAND,39717.0,473688.664
2016,9,TÜRKIYE,91805.0,1300449.746
2016,9,UKRAINE,7196.0,
2016,9,UNITED KINGDOM,186415.0,3238162.083
2016,10,ALBANIA,2021.0,9865.575
2016,10,ARMENIA,1789.0,18338.775
2016,10,AUSTRIA,27978.0,215461.438
2016,10,BELGIUM,28520.0,339721.697
2016,10,BOSNIA AND HERZEGOVINA,918.0,6414.0380000000005
2016,10,BULGARIA,4705.0,45732.783
2016,10,CANARY ISLANDS,,316519.962
2016,10,CROATIA,3668.0,43525.809
2016,10,CYPRUS,7575.0,101464.133
2016,10,CZECH REPUBLIC,12889.0,
2016,10,CZECHIA,,97283.458
2016,10,DENMARK,24166.0,265116.229
2016,10,ESTONIA,3452.0,
2016,10,FINLAND,14552.0,185524.226
2016,10,FRANCE,157970.0,1770642.065
2016,10,GEORGIA,2212.0,27241.898
2016,10,GERMANY,185801.0,2662166.58
2016,10,GREECE,38126.0,334595.643
2016,10,HUNGARY,8479.0,68294.542
2016,10,ICELAND,,46323.193
2016,10,IRELAND,24099.0,242171.343
2016,10,ITALY,97973.0,1145687.343
2016,10,KOSOVO,,9284.954
2016,10,LATVIA,6077.0,32349.006
2016,10,LITHUANIA,4913.0,28187.176
2016,10,LUXEMBOURG,6028.0,131882.069
2016,10,MALTA,4323.0,38481.196
2016,10,MOLDOVA,1990.0,
2016,10,"MOLDOVA, REPUBLIC OF",,13198.325
2016,10,MONACO,,20.425
2016,10,MONTENEGRO,978.0,7886.979
2016,10,NETHERLANDS,48046.0,956845.073
2016,10,NORTH MACEDONIA,,8726.79
2016,10,NORWAY,41882.0,261443.742
2016,10,POLAND,31022.0,195389.312
2016,10,PORTUGAL,33876.0,363585.181
2016,10,REPUBLIC OF NORTH MACEDONIA,1309.0,
2016,10,ROMANIA,9763.0,102896.475
2016,10,SERBIA,5524.0,33278.545
2016,10,SLOVAKIA,1615.0,12497.508
2016,10,SLOVENIA,2654.0,8995.412
2016,10,SPAIN,166631.0,1426970.415
2016,10,SWEDEN,32869.0,277422.643
2016,10,SWITZERLAND,38658.0,457526.717
2016,10,TÜRKIYE,88708.0,1229987.399
2016,10,UKRAINE,6789.0,
2016,10,UNITED KINGDOM,181219.0,3173274.775
2016,11,ALBANIA,1808.0,8677.764000000001
2016,11,ARMENIA,1548.0,15913.036
2016,11,AUSTRIA,24786.0,179011.698
2016,11,BELGIUM,25558.0,318378.648
2016,11,BOSNIA AND HERZEGOVINA,720.0,4841.534000000001
2016,11,BULGARIA,4260.0,36876.345
2016,11,CANARY ISLANDS,,329224.236
2016,11,CROATIA,2965.0,15451.636
2016,11,CYPRUS,4527.0,53436.606
2016,11,CZECH REPUBLIC,11254.0,
2016,11,CZECHIA,,78497.345
2016,11,DENMARK,21053.0,220217.71
2016,11,ESTONIA,3124.0,
2016,11,FINLAND,14199.0,172162.521
2016,11,FRANCE,131540.0,1507664.047
2016,11,GEORGIA,1861.0,21479.813
2016,11,GERMANY,155527.0,2219655.192
2016,11,GREECE,19816.0,115944.817
2016,11,HUNGARY,7199.0,56517.629
2016,11,ICELAND,,37237.138
2016,11,IRELAND,19955.0,184234.143
2016,11,ITALY,82379.0,888591.123
2016,11,KOSOVO,,7156.267000000001
2016,11,LATVIA,5210.0,25810.099
2016,11,LIECHTENSTEIN,,0.74
2016,11,LITHUANIA,4241.0,22627.099
2016,11,LUXEMBOURG,5435.0,137019.035
2016,11,MALTA,3170.0,27905.218
2016,11,MOLDOVA,1762.0,
2016,11,"MOLDOVA, REPUBLIC OF",,11357.969
2016,11,MONACO,,15.364
2016,11,MONTENEGRO,750.0,4173.258
2016,11,NETHERLANDS,40367.0,825130.905
2016,11,NORTH MACEDONIA,,7783.555
2016,11,NORWAY,38715.0,233908.987
2016,11,POLAND,27617.0,178366.915
2016,11,PORTUGAL,26331.0,282086.714
2016,11,REPUBLIC OF NORTH MACEDONIA,1187.0,
2016,11,ROMANIA,9093.0,91620.32
2016,11,SERBIA,4354.0,26129.275
2016,11,SLOVAKIA,1493.0,9592.503
2016,11,SLOVENIA,2214.0,6679.95
2016,11,SPAIN,129423.0,1037878.348
2016,11,SWEDEN,30635.0,256788.364
2016,11,SWITZERLAND,32938.0,397509.957
2016,11,TÜRKIYE,71326.0,926089.881
2016,11,UKRAINE,6126.0,
2016,11,UNITED KINGDOM,151863.0,2696605.89
2016,12,ALBANIA,1924.0,9707.154
2016,12,ARMENIA,1675.0,17754.814
2016,12,AUSTRIA,24786.0,185287.557
2016,12,BELGIUM,25254.0,324671.81
2016,12,BOSNIA AND HERZEGOVINA,732.0,5033.2970000000005
2016,12,BULGARIA,4453.0,39749.329
2016,12,CANARY ISLANDS,,353931.164
2016,12,CROATIA,2858.0,14524.327
2016,12,CYPRUS,4008.0,45218.279
2016,12,CZECH REPUBLIC,11043.0,
2016,12,CZECHIA,,81573.942
2016,12,DENMARK,19384.0,219516.1
2016,12,ESTONIA,3060.0,
2016,12,FINLAND,13341.0,194964.71
2016,12,FRANCE,132447.0,1611972.022
2016,12,GEORGIA,2028.0,22888.676
2016,12,GERMANY,149790.0,2230004.035
2016,12,GREECE,20406.0,117440.27
2016,12,HUNGARY,7319.0,58289.901
2016,12,ICELAND,,37490.194
2016,12,IRELAND,20015.0,189164.299
2016,12,ITALY,82740.0,917718.613
2016,12,KOSOVO,,8238.207
2016,12,LATVIA,5264.0,26532.931
2016,12,LITHUANIA,4143.0,23084.377
2016,12,LUXEMBOURG,5207.0,135272.118
2016,12,MALTA,3071.0,27635.918
2016,12,MOLDOVA,1793.0,
2016,12,"MOLDOVA, REPUBLIC OF",,11606.285
2016,12,MONACO,,10.262
2016,12,MONTENEGRO,789.0,4300.628000000001
2016,12,NETHERLANDS,39864.0,844712.317
2016,12,NORTH MACEDONIA,,7742.979
2016,12,NORWAY,33308.0,215673.721
2016,12,POLAND,27093.0,183609.917
2016,12,PORTUGAL,27341.0,295622.758
2016,12,REPUBLIC OF NORTH MACEDONIA,1135.0,
2016,12,ROMANIA,9057.0,94711.995
2016,12,SERBIA,4621.0,29092.616
2016,12,SLOVAKIA,1426.0,9811.725
2016,12,SLOVENIA,2216.0,7112.679
2016,12,SPAIN,127568.0,1053287.728
2016,12,SWEDEN,27672.0,257754.948
2016,12,SWITZERLAND,35834.0,429097.074
2016,12,TÜRKIYE,71405.0,946676.704
2016,12,UKRAINE,6340.0,
2016,12,UNITED KINGDOM,152658.0,2800984.683
2017,1,ALBANIA,1809.0,8982.333
2017,1,ARMENIA,1550.0,16297.374
2017,1,AUSTRIA,24699.0,183550.212
2017,1,BELGIUM,24384.0,308095.362
2017,1,BOSNIA AND HERZEGOVINA,700.0,4171.743
2017,1,BULGARIA,4538.0,42245.203
2017,1,CANARY ISLANDS,,347353.608
2017,1,CROATIA,2811.0,14299.288
2017,1,CYPRUS,3693.0,42888.334
2017,1,CZECH REPUBLIC,10724.0,
2017,1,CZECHIA,,76454.286
2017,1,DENMARK,19124.0,218461.56
2017,1,ESTONIA,3045.0,
2017,1,FINLAND,13753.0,182992.892
2017,1,FRANCE,129005.0,1559692.251
2017,1,GEORGIA,1963.0,21681.099
2017,1,GERMANY,147333.0,2208877.381
2017,1,GREECE,19372.0,113374.727
2017,1,HUNGARY,7147.0,56456.327
2017,1,ICELAND,,36650.881
2017,1,IRELAND,19946.0,182259.62
2017,1,ITALY,79890.0,899437.176
2017,1,KOSOVO,,7625.726000000001
2017,1,LATVIA,5120.0,25581.374
2017,1,LITHUANIA,4126.0,22688.969
2017,1,LUXEMBOURG,4921.0,109732.316
2017,1,MALTA,3083.0,27700.551
2017,1,MOLDOVA,1843.0,
2017,1,"MOLDOVA, REPUBLIC OF",,12060.037
2017,1,MONACO,,10.106
2017,1,MONTENEGRO,774.0,4097.782
2017,1,NETHERLANDS,39101.0,828761.566
2017,1,NORTH MACEDONIA,,7527.484
2017,1,NORWAY,35194.0,222861.324
2017,1,POLAND,27124.0,179964.105
2017,1,PORTUGAL,26781.0,290402.19
2017,1,REPUBLIC OF NORTH MACEDONIA,1135.0,
2017,1,ROMANIA,8881.0,93704.509
2017,1,SERBIA,4567.0,27717.986
2017,1,SLOVAKIA,1307.0,9316.208
2017,1,SLOVENIA,2164.0,6949.635
2017,1,SPAIN,125048.0,1006378.464
2017,1,SWEDEN,27265.0,254191.06
2017,1,SWITZERLAND,36473.0,438089.828
2017,1,TÜRKIYE,66334.0,899275.272
2017,1,UKRAINE,6387.0,
2017,1,UNITED KINGDOM,149332.0,2699335.537
2017,2,ALBANIA,1570.0,7608.015
2017,2,ARMENIA,1192.0,12901.671
2017,2,AUSTRIA,23539.0,170174.598
2017,2,BELGIUM,23118.0,279876.629
2017,2,BOSNIA AND HERZEGOVINA,658.0,4850.127
2017,2,BULGARIA,4148.0,37412.722
2017,2,CANARY ISLANDS,,312257.835
